,Cat.Sel,Group.Description,Desc,Qty,RCV,group_1,group_2,group_3,buildarchtype
4456,DOR.AV-,Bath,Interior door unit - Standard grade,1,350.98,Bath,main,Full Bath,R_1-M-BD-ST
4457,ELE.GFI,Bath,Ground fault interrupter (GFI) outlet,1,44.4,Bath,main,Full Bath,R_1-M-BD-ST
4458,CAB.VAN-,Bath,Vanity - Standard grade,3,537.84,Bath,main,Full Bath,R_1-M-BD-ST
4459,CAB.CTFSPL4,Bath,"4"" backsplash for flat laid countertop",3,34.7,Bath,main,Full Bath,R_1-M-BD-ST
4460,CAB.CTFL-,Bath,Countertop - flat laid plastic laminate - Standard grade,3,134.53,Bath,main,Full Bath,R_1-M-BD-ST
4461,PLM.FAUBA-,Bath,Sink faucet - Bathroom - Standard grade,1,212.32,Bath,main,Full Bath,R_1-M-BD-ST
4462,PLM.RFIXP-,Bath,Rough-in plumbing - per fixture - w/PEX - Branch system,0.75,495.59,Bath,main,Full Bath,R_1-M-BD-ST
4463,PLM.RFIXP-,Bath,Rough-in plumbing - per fixture - w/PEX - Branch system,0.25,165.2,Bath,main,Full Bath,R_1-M-BD-ST
4464,PLM.SNK-,Bath,Sink - single - Standard grade,1,238.07,Bath,main,Full Bath,R_1-M-BD-ST
4465,PNT.SP,Bath,Seal/prime (1 coat) then paint (1 coat) the surface area,184,216.38,Bath,main,Full Bath,R_1-M-BD-ST
4466,DRY.1/2,Bath,"1/2"" drywall - hung, taped, floated, ready for paint",184,589.54,Bath,main,Full Bath,R_1-M-BD-ST
4467,PNT.B,Bath,Paint baseboard - one coat,11.5,12.57,Bath,main,Full Bath,R_1-M-BD-ST
4468,FNC.B3,Bath,"Baseboard - 3 1/4""",11.5,70.66,Bath,main,Full Bath,R_1-M-BD-ST
4469,DRY.1/2,Bath,"1/2"" drywall - hung, taped, floated, ready for paint",31.28,100.22,Bath,main,Full Bath,R_1-M-BD-ST
4470,PNT.S,Bath,Seal the surface area w/latex based stain blocker - one coat,31.28,23.65,Bath,main,Full Bath,R_1-M-BD-ST
4471,PNT.P,Bath,Paint the surface area - one coat,31.28,25.9,Bath,main,Full Bath,R_1-M-BD-ST
4472,FCV.PLK,Bath,Vinyl plank flooring,6.57,44.86,Bath,main,Full Bath,R_1-M-BD-ST
4473,FCV.AV-,Bath,Vinyl floor covering (sheet goods) - Standard grade,7.2,38.44,Bath,main,Full Bath,R_1-M-BD-ST
4474,FCW.LAM,Bath,Snaplock Laminate - simulated wood flooring,6.26,41.02,Bath,main,Full Bath,R_1-M-BD-ST
4475,FCW.FIN,Bath,Sand & finish wood floor (natural finish),6.26,26.89,Bath,main,Full Bath,R_1-M-BD-ST
4476,FCW.AV,Bath,Oak flooring - #1 common - no finish,6.26,65.36,Bath,main,Full Bath,R_1-M-BD-ST
4477,FCC.PAD-,Bath,Carpet pad - Standard grade,7.2,5.78,Bath,main,Full Bath,R_1-M-BD-ST
4478,FCC.AV-,Bath,Carpet - Standard grade,7.2,36.37,Bath,main,Full Bath,R_1-M-BD-ST
4479,TIL.BMUD,Bath3,Mortar bed for tile,50,528.6,Bath3,basement,Full Bath,R_1-M-BD-ST
4480,TIL.TUB,Bath3,Tile tub surround - up to 60 SF,1,1298.04,Bath3,basement,Full Bath,R_1-M-BD-ST
4481,FNH.TR-,Bath3,Towel ring - Standard grade,1,33.08,Bath3,basement,Full Bath,R_1-M-BD-ST
4482,FNH.TP-,Bath3,Toilet paper holder - Standard grade,1,29.91,Bath3,basement,Full Bath,R_1-M-BD-ST
4483,FNH.TBAR-,Bath3,Towel bar - Standard grade,1,31.1,Bath3,basement,Full Bath,R_1-M-BD-ST
4484,PNT.SHW,Bath3,"Seal & paint wood shelving, 12""- 24"" width",10,53.28,Bath3,basement,Full Bath,R_1-M-BD-ST
4485,FNC.SH16,Bath3,"Shelving - 16"" - in place",10,138.6,Bath3,basement,Full Bath,R_1-M-BD-ST
4486,ELE.OS,Bath3,Outlet,2,31.84,Bath3,basement,Full Bath,R_1-M-BD-ST
4487,MSD.AV,Bath3,"Mirror - 1/4"" plate glass",6,134.86,Bath3,basement,Full Bath,R_1-M-BD-ST
4488,PLM.RFIXP-,Bath3,Rough-in plumbing - per fixture - w/PEX - Branch system,0.75,495.59,Bath3,basement,Full Bath,R_1-M-BD-ST
4489,PLM.RFIXP-,Bath3,Rough-in plumbing - per fixture - w/PEX - Branch system,0.75,495.59,Bath3,basement,Full Bath,R_1-M-BD-ST
4490,PLM.RFIXP-,Bath3,Rough-in plumbing - per fixture - w/PEX - Branch system,0.25,165.2,Bath3,basement,Full Bath,R_1-M-BD-ST
4491,PLM.RFIXP-,Bath3,Rough-in plumbing - per fixture - w/PEX - Branch system,0.25,165.2,Bath3,basement,Full Bath,R_1-M-BD-ST
4492,PLM.TLTS-,Bath3,Toilet seat - Standard grade,1,47.31,Bath3,basement,Full Bath,R_1-M-BD-ST
4493,PLM.TLT-,Bath3,Toilet - Standard grade,1,503.01,Bath3,basement,Full Bath,R_1-M-BD-ST
4494,PLM.TUB-,Bath3,Bathtub - Standard grade,1,927.6,Bath3,basement,Full Bath,R_1-M-BD-ST
4495,FNH.SROD,Bath3,Shower curtain rod,1,41.42,Bath3,basement,Full Bath,R_1-M-BD-ST
4496,PLM.TSFAU-,Bath3,Tub/shower faucet - Standard grade,1,311.06,Bath3,basement,Full Bath,R_1-M-BD-ST
4497,HVC.DCTFN3,Bath3,"Ductwork - flexible - non-insulated - 3"" round",10,78.84,Bath3,basement,Full Bath,R_1-M-BD-ST
4498,HVC.BVENT-,Bath3,Bathroom ventilation fan - Standard grade,1,107.5,Bath3,basement,Full Bath,R_1-M-BD-ST
4499,LIT.BAR4,Bath3,Light bar - 4 lights,1,107.35,Bath3,basement,Full Bath,R_1-M-BD-ST
4500,FNH.DORH-,Bath3,Door knob - interior - Standard grade,1,48.16,Bath3,basement,Full Bath,R_1-M-BD-ST
4501,PNT.DOR,Bath3,Paint door slab only - 2 coats (per side),2,93.44,Bath3,basement,Full Bath,R_1-M-BD-ST
4502,PNT.DORT,Bath3,Paint door/window trim & jamb - 2 coats (per side),2,75.26,Bath3,basement,Full Bath,R_1-M-BD-ST
4503,DOR.AV-,Bath3,Interior door unit - Standard grade,1,350.98,Bath3,basement,Full Bath,R_1-M-BD-ST
4504,ELE.GFI,Bath3,Ground fault interrupter (GFI) outlet,1,44.4,Bath3,basement,Full Bath,R_1-M-BD-ST
4505,CAB.VAN-,Bath3,Vanity - Standard grade,3,537.84,Bath3,basement,Full Bath,R_1-M-BD-ST
4506,CAB.CTFSPL4,Bath3,"4"" backsplash for flat laid countertop",3,34.7,Bath3,basement,Full Bath,R_1-M-BD-ST
4507,CAB.CTFL-,Bath3,Countertop - flat laid plastic laminate - Standard grade,3,134.53,Bath3,basement,Full Bath,R_1-M-BD-ST
4508,PLM.FAUBA-,Bath3,Sink faucet - Bathroom - Standard grade,1,212.32,Bath3,basement,Full Bath,R_1-M-BD-ST
4509,PLM.RFIXP-,Bath3,Rough-in plumbing - per fixture - w/PEX - Branch system,0.75,495.59,Bath3,basement,Full Bath,R_1-M-BD-ST
4510,PLM.RFIXP-,Bath3,Rough-in plumbing - per fixture - w/PEX - Branch system,0.25,165.2,Bath3,basement,Full Bath,R_1-M-BD-ST
4511,PLM.SNK-,Bath3,Sink - single - Standard grade,1,238.07,Bath3,basement,Full Bath,R_1-M-BD-ST
4512,PNT.SP,Bath3,Seal/prime (1 coat) then paint (1 coat) the surface area,184,216.38,Bath3,basement,Full Bath,R_1-M-BD-ST
4513,DRY.1/2,Bath3,"1/2"" drywall - hung, taped, floated, ready for paint",184,589.54,Bath3,basement,Full Bath,R_1-M-BD-ST
4514,PNT.B,Bath3,Paint baseboard - one coat,11.5,12.57,Bath3,basement,Full Bath,R_1-M-BD-ST
4515,FNC.B3,Bath3,"Baseboard - 3 1/4""",11.5,70.66,Bath3,basement,Full Bath,R_1-M-BD-ST
4516,DRY.1/2,Bath3,"1/2"" drywall - hung, taped, floated, ready for paint",31.28,100.22,Bath3,basement,Full Bath,R_1-M-BD-ST
4517,PNT.S,Bath3,Seal the surface area w/latex based stain blocker - one coat,31.28,23.65,Bath3,basement,Full Bath,R_1-M-BD-ST
4518,PNT.P,Bath3,Paint the surface area - one coat,31.28,25.9,Bath3,basement,Full Bath,R_1-M-BD-ST
4519,FCV.PLK,Bath3,Vinyl plank flooring,6.57,44.86,Bath3,basement,Full Bath,R_1-M-BD-ST
4520,FCV.AV-,Bath3,Vinyl floor covering (sheet goods) - Standard grade,7.2,38.44,Bath3,basement,Full Bath,R_1-M-BD-ST
4521,FCW.LAM,Bath3,Snaplock Laminate - simulated wood flooring,6.26,41.02,Bath3,basement,Full Bath,R_1-M-BD-ST
4522,FCW.FIN,Bath3,Sand & finish wood floor (natural finish),6.26,26.89,Bath3,basement,Full Bath,R_1-M-BD-ST
4523,FCW.AV,Bath3,Oak flooring - #1 common - no finish,6.26,65.36,Bath3,basement,Full Bath,R_1-M-BD-ST
4524,FCC.PAD-,Bath3,Carpet pad - Standard grade,7.2,5.78,Bath3,basement,Full Bath,R_1-M-BD-ST
4525,FCC.AV-,Bath3,Carpet - Standard grade,7.2,36.37,Bath3,basement,Full Bath,R_1-M-BD-ST
4526,ELE.OS,FamilyRoom,Outlet,6,95.54,FamilyRoom,main,Living Area,R_1-M-BD-ST
4527,LIT.AV-,FamilyRoom,Light fixture - Standard grade,1,57.68,FamilyRoom,main,Living Area,R_1-M-BD-ST
4528,PNT.SP,FamilyRoom,Seal/prime (1 coat) then paint (1 coat) the surface area,341.33,401.4,FamilyRoom,main,Living Area,R_1-M-BD-ST
4529,DRY.1/2,FamilyRoom,"1/2"" drywall - hung, taped, floated, ready for paint",341.33,1093.63,FamilyRoom,main,Living Area,R_1-M-BD-ST
4530,PNT.B,FamilyRoom,Paint baseboard - one coat,42.67,46.59,FamilyRoom,main,Living Area,R_1-M-BD-ST
4531,FNC.B3,FamilyRoom,"Baseboard - 3 1/4""",42.67,262.17,FamilyRoom,main,Living Area,R_1-M-BD-ST
4532,DRY.1/2,FamilyRoom,"1/2"" drywall - hung, taped, floated, ready for paint",110.72,354.74,FamilyRoom,main,Living Area,R_1-M-BD-ST
4533,PNT.S,FamilyRoom,Seal the surface area w/latex based stain blocker - one coat,110.72,83.71,FamilyRoom,main,Living Area,R_1-M-BD-ST
4534,PNT.P,FamilyRoom,Paint the surface area - one coat,110.72,91.68,FamilyRoom,main,Living Area,R_1-M-BD-ST
4535,FCV.PLK,FamilyRoom,Vinyl plank flooring,23.25,158.75,FamilyRoom,main,Living Area,R_1-M-BD-ST
4536,FCV.AV-,FamilyRoom,Vinyl floor covering (sheet goods) - Standard grade,25.46,135.96,FamilyRoom,main,Living Area,R_1-M-BD-ST
4537,FCW.LAM,FamilyRoom,Snaplock Laminate - simulated wood flooring,22.14,145.06,FamilyRoom,main,Living Area,R_1-M-BD-ST
4538,FCW.FIN,FamilyRoom,Sand & finish wood floor (natural finish),22.14,95.12,FamilyRoom,main,Living Area,R_1-M-BD-ST
4539,FCW.AV,FamilyRoom,Oak flooring - #1 common - no finish,22.14,231.14,FamilyRoom,main,Living Area,R_1-M-BD-ST
4540,FCC.PAD-,FamilyRoom,Carpet pad - Standard grade,25.46,20.48,FamilyRoom,main,Living Area,R_1-M-BD-ST
4541,FCC.AV-,FamilyRoom,Carpet - Standard grade,25.46,128.63,FamilyRoom,main,Living Area,R_1-M-BD-ST
4542,ELE.SMOKE-,Bedroom,Smoke detector - Standard grade,1,47.64,Bedroom,main,Bedroom,R_1-M-BD-ST
4543,PNT.SHW,Bedroom,"Seal & paint wood shelving, 12""- 24"" width",4,21.32,Bedroom,main,Bedroom,R_1-M-BD-ST
4544,FNC.SH16,Bedroom,"Shelving - 16"" - in place",4,55.44,Bedroom,main,Bedroom,R_1-M-BD-ST
4545,FNC.CLROD,Bedroom,Closet rod,4,22.8,Bedroom,main,Bedroom,R_1-M-BD-ST
4546,ELE.OS,Bedroom,Outlet,5,79.63,Bedroom,main,Bedroom,R_1-M-BD-ST
4547,LIT.AV-,Bedroom,Light fixture - Standard grade,1,57.68,Bedroom,main,Bedroom,R_1-M-BD-ST
4548,FNH.DORH,Bedroom,Door knob - interior,1,57.56,Bedroom,main,Bedroom,R_1-M-BD-ST
4549,PNT.BF,Bedroom,Paint bifold door set - slab only - 2 coats (per side),2,132.04,Bedroom,main,Bedroom,R_1-M-BD-ST
4550,DOR.BF-,Bedroom,Bifold door set - lauan/mahogany - Double,1,451.34,Bedroom,main,Bedroom,R_1-M-BD-ST
4551,PNT.DOR,Bedroom,Paint door slab only - 2 coats (per side),2,93.44,Bedroom,main,Bedroom,R_1-M-BD-ST
4552,PNT.DORT,Bedroom,Paint door/window trim & jamb - 2 coats (per side),2,75.26,Bedroom,main,Bedroom,R_1-M-BD-ST
4553,DOR.AV,Bedroom,Interior door unit,1,438.11,Bedroom,main,Bedroom,R_1-M-BD-ST
4554,PNT.SP,Bedroom,Seal/prime (1 coat) then paint (1 coat) the surface area,285.33,335.54,Bedroom,main,Bedroom,R_1-M-BD-ST
4555,DRY.1/2,Bedroom,"1/2"" drywall - hung, taped, floated, ready for paint",285.33,914.19,Bedroom,main,Bedroom,R_1-M-BD-ST
4556,PNT.B,Bedroom,Paint baseboard - one coat,35.67,38.96,Bedroom,main,Bedroom,R_1-M-BD-ST
4557,FNC.B3,Bedroom,"Baseboard - 3 1/4""",35.67,219.15,Bedroom,main,Bedroom,R_1-M-BD-ST
4558,DRY.1/2,Bedroom,"1/2"" drywall - hung, taped, floated, ready for paint",79.51,254.75,Bedroom,main,Bedroom,R_1-M-BD-ST
4559,PNT.S,Bedroom,Seal the surface area w/latex based stain blocker - one coat,79.51,60.11,Bedroom,main,Bedroom,R_1-M-BD-ST
4560,PNT.P,Bedroom,Paint the surface area - one coat,79.51,65.84,Bedroom,main,Bedroom,R_1-M-BD-ST
4561,FCV.PLK,Bedroom,Vinyl plank flooring,16.7,114.02,Bedroom,main,Bedroom,R_1-M-BD-ST
4562,FCV.AV-,Bedroom,Vinyl floor covering (sheet goods) - Standard grade,18.29,97.67,Bedroom,main,Bedroom,R_1-M-BD-ST
4563,FCW.LAM,Bedroom,Snaplock Laminate - simulated wood flooring,15.9,104.17,Bedroom,main,Bedroom,R_1-M-BD-ST
4564,FCW.FIN,Bedroom,Sand & finish wood floor (natural finish),15.9,68.3,Bedroom,main,Bedroom,R_1-M-BD-ST
4565,FCW.AV,Bedroom,Oak flooring - #1 common - no finish,15.9,165.99,Bedroom,main,Bedroom,R_1-M-BD-ST
4566,FCC.PAD-,Bedroom,Carpet pad - Standard grade,18.29,14.71,Bedroom,main,Bedroom,R_1-M-BD-ST
4567,FCC.AV-,Bedroom,Carpet - Standard grade,18.29,92.4,Bedroom,main,Bedroom,R_1-M-BD-ST
4568,ELE.OS,Nook,Outlet,4,63.7,Nook,main,Nook,R_1-M-BD-ST
4569,LIT.AV-,Nook,Light fixture - Standard grade,1,57.68,Nook,main,Nook,R_1-M-BD-ST
4570,PNT.SP,Nook,Seal/prime (1 coat) then paint (1 coat) the surface area,285.33,335.54,Nook,main,Nook,R_1-M-BD-ST
4571,DRY.1/2,Nook,"1/2"" drywall - hung, taped, floated, ready for paint",285.33,914.19,Nook,main,Nook,R_1-M-BD-ST
4572,PNT.B,Nook,Paint baseboard - one coat,35.67,38.96,Nook,main,Nook,R_1-M-BD-ST
4573,FNC.B3,Nook,"Baseboard - 3 1/4""",35.67,219.15,Nook,main,Nook,R_1-M-BD-ST
4574,DRY.1/2,Nook,"1/2"" drywall - hung, taped, floated, ready for paint",79.51,254.75,Nook,main,Nook,R_1-M-BD-ST
4575,PNT.S,Nook,Seal the surface area w/latex based stain blocker - one coat,79.51,60.11,Nook,main,Nook,R_1-M-BD-ST
4576,PNT.P,Nook,Paint the surface area - one coat,79.51,65.84,Nook,main,Nook,R_1-M-BD-ST
4577,FCV.PLK,Nook,Vinyl plank flooring,16.7,114.02,Nook,main,Nook,R_1-M-BD-ST
4578,FCV.AV-,Nook,Vinyl floor covering (sheet goods) - Standard grade,18.29,97.67,Nook,main,Nook,R_1-M-BD-ST
4579,FCW.LAM,Nook,Snaplock Laminate - simulated wood flooring,15.9,104.17,Nook,main,Nook,R_1-M-BD-ST
4580,FCW.FIN,Nook,Sand & finish wood floor (natural finish),15.9,68.3,Nook,main,Nook,R_1-M-BD-ST
4581,FCW.AV,Nook,Oak flooring - #1 common - no finish,15.9,165.99,Nook,main,Nook,R_1-M-BD-ST
4582,FCC.PAD-,Nook,Carpet pad - Standard grade,18.29,14.71,Nook,main,Nook,R_1-M-BD-ST
4583,FCC.AV-,Nook,Carpet - Standard grade,18.29,92.4,Nook,main,Nook,R_1-M-BD-ST
4584,ELE.OS,LivingRoom,Outlet,6,95.54,LivingRoom,main,Living Area,R_1-M-BD-ST
4585,LIT.AV-,LivingRoom,Light fixture - Standard grade,1,57.68,LivingRoom,main,Living Area,R_1-M-BD-ST
4586,PNT.SP,LivingRoom,Seal/prime (1 coat) then paint (1 coat) the surface area,482.67,567.62,LivingRoom,main,Living Area,R_1-M-BD-ST
4587,DRY.1/2,LivingRoom,"1/2"" drywall - hung, taped, floated, ready for paint",482.67,1546.47,LivingRoom,main,Living Area,R_1-M-BD-ST
4588,PNT.B,LivingRoom,Paint baseboard - one coat,60.33,65.88,LivingRoom,main,Living Area,R_1-M-BD-ST
4589,FNC.B3,LivingRoom,"Baseboard - 3 1/4""",60.33,370.67,LivingRoom,main,Living Area,R_1-M-BD-ST
4590,DRY.1/2,LivingRoom,"1/2"" drywall - hung, taped, floated, ready for paint",220.4,706.17,LivingRoom,main,Living Area,R_1-M-BD-ST
4591,PNT.S,LivingRoom,Seal the surface area w/latex based stain blocker - one coat,220.4,166.63,LivingRoom,main,Living Area,R_1-M-BD-ST
4592,PNT.P,LivingRoom,Paint the surface area - one coat,220.4,182.5,LivingRoom,main,Living Area,R_1-M-BD-ST
4593,FCV.PLK,LivingRoom,Vinyl plank flooring,46.28,315.99,LivingRoom,main,Living Area,R_1-M-BD-ST
4594,FCV.AV-,LivingRoom,Vinyl floor covering (sheet goods) - Standard grade,50.69,270.69,LivingRoom,main,Living Area,R_1-M-BD-ST
4595,FCW.LAM,LivingRoom,Snaplock Laminate - simulated wood flooring,44.08,288.82,LivingRoom,main,Living Area,R_1-M-BD-ST
4596,FCW.FIN,LivingRoom,Sand & finish wood floor (natural finish),44.08,189.37,LivingRoom,main,Living Area,R_1-M-BD-ST
4597,FCW.AV,LivingRoom,Oak flooring - #1 common - no finish,44.08,460.2,LivingRoom,main,Living Area,R_1-M-BD-ST
4598,FCC.PAD-,LivingRoom,Carpet pad - Standard grade,50.69,40.76,LivingRoom,main,Living Area,R_1-M-BD-ST
4599,FCC.AV-,LivingRoom,Carpet - Standard grade,50.69,256.08,LivingRoom,main,Living Area,R_1-M-BD-ST
4600,ELE.SMOKE-,Hallway,Smoke detector - Standard grade,1,47.64,Hallway,main,Hallway,R_1-M-BD-ST
4601,ELE.OS,Hallway,Outlet,1,15.93,Hallway,main,Hallway,R_1-M-BD-ST
4602,LIT.AV-,Hallway,Light fixture - Standard grade,1,57.68,Hallway,main,Hallway,R_1-M-BD-ST
4603,PNT.SP,Hallway,Seal/prime (1 coat) then paint (1 coat) the surface area,298.67,351.24,Hallway,main,Hallway,R_1-M-BD-ST
4604,DRY.1/2,Hallway,"1/2"" drywall - hung, taped, floated, ready for paint",298.67,956.95,Hallway,main,Hallway,R_1-M-BD-ST
4605,PNT.B,Hallway,Paint baseboard - one coat,37.33,40.77,Hallway,main,Hallway,R_1-M-BD-ST
4606,FNC.B3,Hallway,"Baseboard - 3 1/4""",37.33,229.35,Hallway,main,Hallway,R_1-M-BD-ST
4607,DRY.1/2,Hallway,"1/2"" drywall - hung, taped, floated, ready for paint",71.11,227.84,Hallway,main,Hallway,R_1-M-BD-ST
4608,PNT.S,Hallway,Seal the surface area w/latex based stain blocker - one coat,71.11,53.76,Hallway,main,Hallway,R_1-M-BD-ST
4609,PNT.P,Hallway,Paint the surface area - one coat,71.11,58.89,Hallway,main,Hallway,R_1-M-BD-ST
4610,FCV.PLK,Hallway,Vinyl plank flooring,14.93,101.95,Hallway,main,Hallway,R_1-M-BD-ST
4611,FCV.AV-,Hallway,Vinyl floor covering (sheet goods) - Standard grade,16.36,87.36,Hallway,main,Hallway,R_1-M-BD-ST
4612,FCW.LAM,Hallway,Snaplock Laminate - simulated wood flooring,14.22,93.16,Hallway,main,Hallway,R_1-M-BD-ST
4613,FCW.FIN,Hallway,Sand & finish wood floor (natural finish),14.22,61.09,Hallway,main,Hallway,R_1-M-BD-ST
4614,FCW.AV,Hallway,Oak flooring - #1 common - no finish,14.22,148.45,Hallway,main,Hallway,R_1-M-BD-ST
4615,FCC.PAD-,Hallway,Carpet pad - Standard grade,16.36,13.16,Hallway,main,Hallway,R_1-M-BD-ST
4616,FCC.AV-,Hallway,Carpet - Standard grade,16.36,82.66,Hallway,main,Hallway,R_1-M-BD-ST
4617,ELE.OS,DiningRoom,Outlet,5,79.63,DiningRoom,main,Dining Room,R_1-M-BD-ST
4618,LIT.AV,DiningRoom,Light fixture,1,76.21,DiningRoom,main,Dining Room,R_1-M-BD-ST
4619,PNT.SP,DiningRoom,Seal/prime (1 coat) then paint (1 coat) the surface area,426.67,501.76,DiningRoom,main,Dining Room,R_1-M-BD-ST
4620,DRY.1/2,DiningRoom,"1/2"" drywall - hung, taped, floated, ready for paint",426.67,1367.05,DiningRoom,main,Dining Room,R_1-M-BD-ST
4621,PNT.B,DiningRoom,Paint baseboard - one coat,53.33,58.23,DiningRoom,main,Dining Room,R_1-M-BD-ST
4622,FNC.B3,DiningRoom,"Baseboard - 3 1/4""",53.33,327.67,DiningRoom,main,Dining Room,R_1-M-BD-ST
4623,DRY.1/2,DiningRoom,"1/2"" drywall - hung, taped, floated, ready for paint",170.67,546.83,DiningRoom,main,Dining Room,R_1-M-BD-ST
4624,PNT.S,DiningRoom,Seal the surface area w/latex based stain blocker - one coat,170.67,129.02,DiningRoom,main,Dining Room,R_1-M-BD-ST
4625,PNT.P,DiningRoom,Paint the surface area - one coat,170.67,141.32,DiningRoom,main,Dining Room,R_1-M-BD-ST
4626,FCV.PLK,DiningRoom,Vinyl plank flooring,35.84,244.71,DiningRoom,main,Dining Room,R_1-M-BD-ST
4627,FCV.AV-,DiningRoom,Vinyl floor covering (sheet goods) - Standard grade,39.25,209.6,DiningRoom,main,Dining Room,R_1-M-BD-ST
4628,FCW.LAM,DiningRoom,Snaplock Laminate - simulated wood flooring,34.13,223.63,DiningRoom,main,Dining Room,R_1-M-BD-ST
4629,FCW.FIN,DiningRoom,Sand & finish wood floor (natural finish),34.13,146.63,DiningRoom,main,Dining Room,R_1-M-BD-ST
4630,FCW.AV,DiningRoom,Oak flooring - #1 common - no finish,34.13,356.31,DiningRoom,main,Dining Room,R_1-M-BD-ST
4631,FCC.PAD-,DiningRoom,Carpet pad - Standard grade,39.25,31.56,DiningRoom,main,Dining Room,R_1-M-BD-ST
4632,FCC.AV-,DiningRoom,Carpet - Standard grade,39.25,198.28,DiningRoom,main,Dining Room,R_1-M-BD-ST
4633,TIL.BMUD,Bath2,Mortar bed for tile,50,528.6,Bath2,main,Full Bath,R_1-M-BD-ST
4634,TIL.TUB,Bath2,Tile tub surround - up to 60 SF,1,1298.04,Bath2,main,Full Bath,R_1-M-BD-ST
4635,FNH.TR-,Bath2,Towel ring - Standard grade,1,33.08,Bath2,main,Full Bath,R_1-M-BD-ST
4636,FNH.TP-,Bath2,Toilet paper holder - Standard grade,1,29.91,Bath2,main,Full Bath,R_1-M-BD-ST
4637,FNH.TBAR-,Bath2,Towel bar - Standard grade,1,31.1,Bath2,main,Full Bath,R_1-M-BD-ST
4638,PNT.SHW,Bath2,"Seal & paint wood shelving, 12""- 24"" width",10,53.28,Bath2,main,Full Bath,R_1-M-BD-ST
4639,FNC.SH16,Bath2,"Shelving - 16"" - in place",10,138.6,Bath2,main,Full Bath,R_1-M-BD-ST
4640,ELE.OS,Bath2,Outlet,2,31.84,Bath2,main,Full Bath,R_1-M-BD-ST
4641,MSD.AV,Bath2,"Mirror - 1/4"" plate glass",6,134.86,Bath2,main,Full Bath,R_1-M-BD-ST
4642,PLM.RFIXP-,Bath2,Rough-in plumbing - per fixture - w/PEX - Branch system,0.75,495.59,Bath2,main,Full Bath,R_1-M-BD-ST
4643,PLM.RFIXP-,Bath2,Rough-in plumbing - per fixture - w/PEX - Branch system,0.75,495.59,Bath2,main,Full Bath,R_1-M-BD-ST
4644,PLM.RFIXP-,Bath2,Rough-in plumbing - per fixture - w/PEX - Branch system,0.25,165.2,Bath2,main,Full Bath,R_1-M-BD-ST
4645,PLM.RFIXP-,Bath2,Rough-in plumbing - per fixture - w/PEX - Branch system,0.25,165.2,Bath2,main,Full Bath,R_1-M-BD-ST
4646,PLM.TLTS-,Bath2,Toilet seat - Standard grade,1,47.31,Bath2,main,Full Bath,R_1-M-BD-ST
4647,PLM.TLT-,Bath2,Toilet - Standard grade,1,503.01,Bath2,main,Full Bath,R_1-M-BD-ST
4648,PLM.TUB-,Bath2,Bathtub - Standard grade,1,927.6,Bath2,main,Full Bath,R_1-M-BD-ST
4649,FNH.SROD,Bath2,Shower curtain rod,1,41.42,Bath2,main,Full Bath,R_1-M-BD-ST
4650,PLM.TSFAU-,Bath2,Tub/shower faucet - Standard grade,1,311.06,Bath2,main,Full Bath,R_1-M-BD-ST
4651,HVC.DCTFN3,Bath2,"Ductwork - flexible - non-insulated - 3"" round",10,78.84,Bath2,main,Full Bath,R_1-M-BD-ST
4652,HVC.BVENT-,Bath2,Bathroom ventilation fan - Standard grade,1,107.5,Bath2,main,Full Bath,R_1-M-BD-ST
4653,LIT.BAR4,Bath2,Light bar - 4 lights,1,107.35,Bath2,main,Full Bath,R_1-M-BD-ST
4654,FNH.DORH-,Bath2,Door knob - interior - Standard grade,1,48.16,Bath2,main,Full Bath,R_1-M-BD-ST
4655,PNT.DOR,Bath2,Paint door slab only - 2 coats (per side),2,93.44,Bath2,main,Full Bath,R_1-M-BD-ST
4656,PNT.DORT,Bath2,Paint door/window trim & jamb - 2 coats (per side),2,75.26,Bath2,main,Full Bath,R_1-M-BD-ST
4657,DOR.AV-,Bath2,Interior door unit - Standard grade,1,350.98,Bath2,main,Full Bath,R_1-M-BD-ST
4658,ELE.GFI,Bath2,Ground fault interrupter (GFI) outlet,1,44.4,Bath2,main,Full Bath,R_1-M-BD-ST
4659,CAB.VAN-,Bath2,Vanity - Standard grade,3,537.84,Bath2,main,Full Bath,R_1-M-BD-ST
4660,CAB.CTFSPL4,Bath2,"4"" backsplash for flat laid countertop",3,34.7,Bath2,main,Full Bath,R_1-M-BD-ST
4661,CAB.CTFL-,Bath2,Countertop - flat laid plastic laminate - Standard grade,3,134.53,Bath2,main,Full Bath,R_1-M-BD-ST
4662,PLM.FAUBA-,Bath2,Sink faucet - Bathroom - Standard grade,1,212.32,Bath2,main,Full Bath,R_1-M-BD-ST
4663,PLM.RFIXP-,Bath2,Rough-in plumbing - per fixture - w/PEX - Branch system,0.75,495.59,Bath2,main,Full Bath,R_1-M-BD-ST
4664,PLM.RFIXP-,Bath2,Rough-in plumbing - per fixture - w/PEX - Branch system,0.25,165.2,Bath2,main,Full Bath,R_1-M-BD-ST
4665,PLM.SNK-,Bath2,Sink - single - Standard grade,1,238.07,Bath2,main,Full Bath,R_1-M-BD-ST
4666,PNT.SP,Bath2,Seal/prime (1 coat) then paint (1 coat) the surface area,184,216.38,Bath2,main,Full Bath,R_1-M-BD-ST
